date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2022-07-13T00:00:00.000,KY,239528,2756506,3724884,2539,58
2022-07-13T00:00:00.000,NE,95374,1188313,2028573,7706,64.2
2022-07-13T00:00:00.000,GU,13563,116209,238098,388,83.5
2022-07-13T00:00:00.000,WY,28909,338560,397771,728,51.5
2022-07-13T00:00:00.000,LA,200644,2623465,3604122,3386,54
2022-07-13T00:00:00.000,MP,1385,15289,94178,9,83.8
2022-07-13T00:00:00.000,WI,336578,4091936,6273389,3057,66.2
2022-07-13T00:00:00.000,OH,630197,7016970,10789074,21264,58.9
2022-07-13T00:00:00.000,SC,232238,3028021,4513642,2311,57.8
2022-05-25T00:00:00.000,AS,575,24680,84231,1185,88.2
2022-07-13T00:00:00.000,DC,38245,585901,986936,1968,76.6
2022-07-13T00:00:00.000,NV,188197,1735605,3130830,586,61.5
2022-07-13T00:00:00.000,MA,406303,6086750,8994306,478,80.1
2022-07-13T00:00:00.000,RI,66077,881923,1357579,2128,84
2022-07-13T00:00:00.000,IL,681924,8294818,14368469,31956,69.2
2022-07-13T00:00:00.000,FL,1488527,14359100,22704654,152142,67.7
2022-07-13T00:00:00.000,OR,277414,3039282,4795269,18317,70.3
2022-07-13T00:00:00.000,GA,343754,6001123,8988174,43778,55.5
2022-07-13T00:00:00.000,OK,155337,2451950,3466138,3926,58.1
2022-07-13T00:00:00.000,FM,13673,89010,42681,84,59.7
2022-07-13T00:00:00.000,TN,267324,3935778,5994152,70105,55
2022-03-02T00:00:00.000,BP2,14161,135292,153588,32,0
2022-07-13T00:00:00.000,ME,144308,1233709,1611729,3996,80.7
2022-07-13T00:00:00.000,AZ,374716,4949912,7305277,38610,62.5
2022-07-13T00:00:00.000,IH2,41612,1075576,1193606,173,42.4
2022-07-13T00:00:00.000,DE,62572,730417,1095443,2378,70.3
2022-07-13T00:00:00.000,IN,315187,3656974,6119233,34026,56.5
2022-07-13T00:00:00.000,MD,367094,4602851,7669837,19482,76.6
2022-07-06T00:00:00.000,CA,2320328,29292337,46365893,15710,72.9
2022-07-06T00:00:00.000,DE,62528,728878,1092124,2374,70.2
2022-07-06T00:00:00.000,VT,53809,576909,837967,891,82
2022-07-06T00:00:00.000,MN,358636,3918526,6501732,5637,69.8
2021-12-12T00:00:00.000,DD2,300967,2259792,4138802,21313,0
2022-07-06T00:00:00.000,AL,177860,2801923,3441465,646,51.6
2022-07-06T00:00:00.000,WY,28882,337775,396769,723,51.4
2022-07-06T00:00:00.000,MI,468978,6471851,9444581,2327,60.7
2022-07-06T00:00:00.000,WI,336443,4081712,6254052,3018,66.2
2022-07-06T00:00:00.000,NJ,579771,6711900,10476158,4143,76.5
2022-07-06T00:00:00.000,AR,124733,1865612,2368225,4259,55.1
2022-07-06T00:00:00.000,SC,232146,3020994,4502671,2309,57.7
2022-07-06T00:00:00.000,TX,1579820,17623918,29092092,6024,62.4
2022-07-06T00:00:00.000,NV,188142,1731694,3122431,570,61.5
2022-07-06T00:00:00.000,RI,65926,878709,1352535,2081,83.8
2022-07-06T00:00:00.000,OR,277294,3032629,4782420,18199,70.3
2021-12-10T00:00:00.000,DD2,300301,2256001,4129222,21264,0
2022-07-06T00:00:00.000,DD2,315779,2710918,5258554,31948,0
2022-07-06T00:00:00.000,CO,342133,4320470,6496635,12076,70.9
2022-07-06T00:00:00.000,FL,1487551,14331627,22653589,150489,67.7
2022-07-06T00:00:00.000,WV,67830,1211355,1522470,1768,58.2
2022-07-06T00:00:00.000,UT,185610,1857809,3316137,375,64.8
2022-07-06T00:00:00.000,MS,94015,1597338,2271056,3533,52.3
2022-07-06T00:00:00.000,FM,13553,87870,41163,64,58.9
2022-07-06T00:00:00.000,ID,88915,958818,1529971,4136,55.9
2022-07-06T00:00:00.000,VA2,256143,3945659,3435503,40,0
2022-07-06T00:00:00.000,NM,119910,1662783,2304890,10613,72.1
2022-04-15T00:00:00.000,IH2,40842,1035988,1139452,195,41.6
2022-07-06T00:00:00.000,GU,13432,115786,237245,388,83.3
2022-07-06T00:00:00.000,NE,95338,1185337,2023416,7638,64.1
2022-07-06T00:00:00.000,MH,3011,55730,17580,3,39
2022-07-06T00:00:00.000,MA,406162,6072824,8970240,478,80.1
2022-07-06T00:00:00.000,KY,239403,2750495,3715217,2539,57.9
